aliveTime,authTime,connectTime,httpType,ipAddress,position,speed
5天,2017/6/15 12:20,0.076,HTTPS,115.213.177.140:808,浙江丽水,0.381
,,,,,,
12天,2017/6/15 12:16,1.006,HTTP,182.92.242.11:80,浙江杭州,5.034
,,,,,,
1分钟,2017/6/15 12:15,0.827,HTTP,122.245.65.73:808,浙江宁波,4.138
,,,,,,
95天,2017/6/15 12:11,1.06,HTTP,114.239.0.121:808,江苏宿迁,5.303
,,,,,,
1分钟,2017/6/15 12:11,0.417,HTTPS,171.11.228.34:808,河南,2.087
,,,,,,
75天,2017/6/15 12:11,0.665,HTTP,218.64.92.21:808,江西吉安,3.328
,,,,,,
1分钟,2017/6/15 12:11,0.64,HTTPS,171.12.138.242:808,河南,3.204
,,,,,,
1分钟,2017/6/15 12:11,0.172,HTTPS,125.122.62.255:808,浙江杭州,0.862
,,,,,,
45天,2017/6/15 12:11,0.169,HTTP,122.245.67.178:808,浙江宁波,0.846
,,,,,,
1分钟,2017/6/15 12:11,0.12,HTTPS,183.153.15.131:808,浙江台州,0.604
,,,,,,
1分钟,2017/6/15 12:11,0.437,HTTPS,125.122.22.21:808,浙江杭州,2.189
,,,,,,
77天,2017/6/15 12:10,1.272,HTTP,114.239.144.190:808,江苏宿迁市泗阳县,6.364
,,,,,,
10分钟,2017/6/15 12:10,0.13,HTTPS,39.84.195.29:808,山东,0.652
,,,,,,
1小时,2017/6/15 12:10,0.22,HTTP,60.178.86.151:808,浙江宁波,1.101
,,,,,,
7小时,2017/6/15 12:10,0.067,HTTP,116.53.197.81:808,云南昆明,0.336
,,,,,,
905天,2017/6/15 12:06,0.352,HTTPS,218.63.208.223:3128,云南曲靖,2.424
,,,,,,
164天,2017/6/15 12:06,0.064,HTTP,106.0.6.165:8081,福建,0.324
,,,,,,
110天,2017/6/15 12:05,0.047,HTTP,175.155.25.86:808,四川德阳,0.238
,,,,,,
14天,2017/6/15 12:00,0.037,HTTPS,218.61.208.95:808,辽宁大连,0.189
,,,,,,
1分钟,2017/6/15 12:00,0.953,HTTPS,60.184.173.118:808,浙江丽水,4.765
,,,,,,
4分钟,2017/6/15 12:00,0.053,HTTPS,125.106.92.31:808,浙江衢州,0.265
,,,,,,
14天,2017/6/15 11:54,0.061,HTTP,218.18.232.29:8080,广东深圳,0.305
,,,,,,
20分钟,2017/6/15 11:51,0.244,HTTP,140.224.76.35:808,电信骨干网,1.224
,,,,,,
16分钟,2017/6/15 11:50,0.613,HTTPS,39.84.136.130:808,山东,3.067
,,,,,,
2小时,2017/6/15 11:50,0.036,HTTPS,123.169.84.247:808,山东淄博,0.182
,,,,,,
1分钟,2017/6/15 11:44,0.64,HTTPS,119.7.75.26:808,四川德阳,3.201
,,,,,,
41天,2017/6/15 11:44,0.975,HTTP,175.155.24.18:808,四川德阳,4.875
,,,,,,
74天,2017/6/15 11:44,0.047,HTTP,114.239.144.100:808,江苏宿迁市泗阳县,0.235
,,,,,,
42分钟,2017/6/15 11:43,0.147,HTTPS,115.192.122.117:808,浙江杭州,0.736
,,,,,,
98天,2017/6/15 11:40,0.058,HTTP,119.5.1.95:808,四川南充,0.293
,,,,,,
3小时,2017/6/15 11:34,0.109,HTTPS,120.32.1.197:808,福建福州,0.547
,,,,,,
1分钟,2017/6/15 11:33,0.272,HTTPS,115.215.70.147:808,浙江宁波,1.364
,,,,,,
99天,2017/6/15 11:31,0.047,HTTP,175.155.24.22:808,四川德阳,0.236
,,,,,,
1分钟,2017/6/15 11:30,0.245,HTTP,183.153.10.161:808,浙江台州,1.229
,,,,,,
1分钟,2017/6/15 11:30,0.037,HTTP,222.95.19.3:808,江苏南京,0.188
,,,,,,
21天,2017/6/15 11:30,0.053,HTTPS,175.155.25.106:808,四川德阳,0.265
,,,,,,
108天,2017/6/15 11:30,0.084,HTTP,175.155.24.30:808,四川德阳,0.42
,,,,,,
4天,2017/6/15 11:30,1.259,HTTP,122.241.72.222:808,浙江丽水,6.299
,,,,,,
14天,2017/6/15 11:30,0.048,HTTPS,123.170.255.162:808,山东滨州,0.243
,,,,,,
1小时,2017/6/15 11:30,1.124,HTTPS,60.167.134.67:808,安徽芜湖,5.62
,,,,,,
1分钟,2017/6/15 11:22,0.666,HTTPS,123.163.161.66:808,河南三门峡,3.33
,,,,,,
1分钟,2017/6/15 11:22,0.293,HTTPS,121.226.172.194:808,江苏,1.466
,,,,,,
44天,2017/6/15 11:22,0.189,HTTPS,221.229.46.104:808,江苏扬州,0.947
,,,,,,
1分钟,2017/6/15 11:22,0.919,HTTPS,36.249.26.169:808,福建泉州,4.595
,,,,,,
1分钟,2017/6/15 11:22,0.387,HTTPS,114.99.23.224:808,安徽安庆,1.936
,,,,,,
1分钟,2017/6/15 11:22,0.283,HTTPS,153.36.121.15:808,江苏,1.416
,,,,,,
1分钟,2017/6/15 11:22,0.305,HTTPS,123.149.163.141:808,河南洛阳,1.527
,,,,,,
22天,2017/6/15 11:16,0.064,HTTPS,115.213.176.150:808,浙江丽水,0.32
,,,,,,
1分钟,2017/6/15 11:15,0.068,HTTP,114.239.148.192:808,江苏宿迁市泗阳县,0.341
,,,,,,
21小时,2017/6/15 11:15,0.051,HTTP,115.213.177.68:808,浙江丽水,0.259
,,,,,,
59天,2017/6/15 11:15,0.198,HTTPS,221.229.44.114:808,江苏扬州,0.99
,,,,,,
10天,2017/6/15 11:13,0.282,HTTPS,114.239.146.234:808,江苏宿迁市泗阳县,1.41
,,,,,,
27分钟,2017/6/15 11:11,1.595,HTTPS,121.226.166.237:808,江苏,7.975
,,,,,,
78天,2017/6/15 11:11,0.052,HTTP,175.155.24.80:808,四川德阳,0.263
,,,,,,
